id,rubrika,datum,mesec,avtorji,st_besed,cos_podobnost_1,L_podobnost_1,zamik_objav_1[min],id_podobnih_1,cos_podobnost_2,L_podobnost_2,zamik_objav_2[min],id_podobnih_2,cos_podobnost_3,L_podobnost_3,zamik_objav_3[min],id_podobnih_3
1-R,slovenija,2023-06-30,202306,['M. Z.'],490,0.529459,64,3283.0,22951-S,0.513402,68,5527.0,24571-S,0.501878,65,2043.0,21999-S
2-R,slovenija,2023-06-30,202306,['T. K. B.'],325,0.45217,84,5756.0,24590-S,0.445164,90,2041.0,21999-S,0.436258,92,1096.0,21925-S
3-R,gospodarstvo,2023-06-30,202306,['La. Da.'],429,0.444096,59,5679.0,24590-S,0.442956,62,3899.0,23798-S,0.438295,59,4124.0,23812-S
4-R,slovenija,2023-06-30,202306,['La. Da.'],1153,0.677137,55,5607.0,24590-S,0.634236,56,2664.0,22915-S,0.630375,63,5476.0,24582-S
5-R,gospodarstvo,2023-06-30,202306,['T. K. B.'],893,0.80805,51,34.0,16780-S,0.467702,68,1391.0,21970-S,0.417373,41,2528.0,22908-S
6-R,slovenija,2023-06-30,202306,"['La. Da.', 'M. Z.']",658,0.533776,68,5189.0,24565-S,0.402068,86,848.0,21923-S,0.400742,80,1842.0,21999-S
7-R,zdravje,2023-06-30,202306,['T. K. B.'],711,0.527881,60,88.0,16790-S,0.523015,58,1796.0,21999-S,0.515167,58,851.0,21925-S
8-R,evropska-unija,2023-06-30,202306,['La. Da.'],430,0.499763,60,780.0,21925-S,0.487684,54,2195.0,22890-S,0.472742,60,3660.0,23798-S
9-R,slovenija,2023-06-30,202306,['La. Da.'],1527,0.62366,69,2401.0,22911-S,0.623352,69,5404.0,24590-S,0.584812,66,1689.0,21999-S
10-R,zabava-in-slog,2023-06-30,202306,['Avtomobilnost'],256,0.46028,40,1668.0,21999-S,0.435799,42,723.0,21925-S,0.43501,43,3603.0,23798-S
11-R,slovenija,2023-06-30,202306,['M. Z.'],275,0.883737,21,94.0,16805-S,0.541656,49,5608.0,24609-S,0.361273,49,656.0,21923-S
12-R,slovenija,2023-06-30,202306,['T. K. B.'],72,0.713099,8,3424.0,11-S,0.203233,43,3844.0,23816-S,0.202506,55,2320.0,22906-S
13-R,zdravje,2023-06-30,202306,['Ksenja Tratnik'],1975,0.69459,60,614.0,21925-S,0.693499,60,119.0,16807-S,0.680168,55,1559.0,21999-S
14-R,slovenija,2023-06-29,202306,['Al. Ma.'],831,0.658385,57,214.0,21925-S,0.654025,56,3094.0,23798-S,0.646213,50,1159.0,21999-S
15-R,slovenija,2023-06-29,202306,['Al. Ma.'],310,0.607032,59,5669.0,25398-S,0.596423,60,2227.0,22951-S,0.58525,60,2922.0,23798-S
16-R,slovenija,2023-06-29,202306,['Al. Ma.'],297,0.410086,34,927.0,21999-S,0.406016,45,4642.0,24590-S,0.382215,64,4511.0,24582-S
17-R,slovenija,2023-06-29,202306,['G. C.'],308,0.486976,72,867.0,21999-S,0.475035,71,4582.0,24590-S,0.466836,74,4451.0,24582-S
18-R,slovenija,2023-06-29,202306,['G. C.'],275,0.438663,76,1960.0,22942-S,0.434341,71,1559.0,22911-S,0.431818,70,1287.0,22887-S
19-R,gospodarstvo,2023-06-29,202306,['G. C.'],369,0.483252,71,778.0,21999-S,0.45753,71,1891.0,22942-S,0.456293,66,1127.0,22881-S
20-R,slovenija,2023-06-29,202306,['Al. Ma.'],876,0.758103,53,14.0,21940-S,0.680902,61,4573.0,24601-S,0.602342,75,4458.0,24590-S
21-R,slovenija,2023-06-29,202306,['STA'],189,0.90847,35,11.0,21942-S,0.304458,55,719.0,21999-S,0.297458,53,2879.0,23812-S
22-R,slovenija,2023-06-29,202306,['La. Da.'],315,0.498887,54,5346.0,25398-S,0.490126,41,2824.0,23812-S,0.482719,37,664.0,21999-S
23-R,slovenija,2023-06-29,202306,['G. C.'],550,0.534464,76,1577.0,22929-S,0.465574,79,1372.0,22911-S,0.457948,80,2820.0,23812-S
24-R,slovenija,2023-06-29,202306,['G. C.'],444,0.539458,57,2370.0,23788-S,0.531602,67,5264.0,25398-S,0.531556,68,2517.0,23798-S
25-R,slovenija,2023-06-29,202306,['Urška Sobočan Ivanovič'],506,0.535057,50,1207.0,22915-S,0.521482,69,5415.0,25410-S,0.51408,44,2595.0,23812-S
26-R,slovenija,2023-06-29,202306,['M. Z.'],505,0.852358,49,76.0,21985-S,0.549779,70,3849.0,24571-S,0.546552,76,4218.0,24603-S
27-R,slovenija,2023-06-29,202306,['G. C.'],874,0.600604,64,112.0,21998-S,0.579325,75,3952.0,24590-S,0.576926,79,5217.0,25410-S
28-R,okolje,2023-06-29,202306,['Miha Zavrtanik'],1686,0.631203,61,180.0,21999-S,0.63079,62,4862.0,25398-S,0.608151,58,1420.0,22951-S
29-R,slovenija,2023-06-28,202306,['A. M.'],405,0.411838,64,5644.0,26250-S,0.408218,61,1909.0,23826-S,0.379579,63,5643.0,26248-S
30-R,slovenija,2023-06-28,202306,['La. Da.'],501,0.530342,33,2996.0,24576-S,0.529253,73,3322.0,24603-S,0.517782,58,181.0,22911-S
31-R,slovenija,2023-06-28,202306,"['Rok Šuligoj', 'TV Slovenija']",261,0.601898,61,4147.0,25398-S,0.599189,60,1625.0,23812-S,0.596512,59,5515.0,26250-S
32-R,okolje,2023-06-28,202306,['La. Da.'],434,0.973612,39,9.0,22900-S,0.538667,39,1555.0,23812-S,0.53856,46,5685.0,26260-S
33-R,slovenija,2023-06-28,202306,['A. P. J.'],156,0.339389,69,484.0,22942-S,0.331017,78,3224.0,24603-S,0.324258,60,2898.0,24576-S
34-R,slovenija,2023-06-28,202306,['A. P. J.'],314,0.446758,60,2943.0,24582-S,0.445511,51,5649.0,26260-S,0.439048,36,5544.0,26256-S
35-R,slovenija,2023-06-28,202306,['A. P. J.'],210,0.436773,47,590.0,22951-S,0.432254,50,3925.0,25392-S,0.429941,65,4827.0,25430-S
36-R,zdravje,2023-06-28,202306,['La. Da.'],541,0.453197,56,1490.0,23812-S,0.447724,52,5380.0,26250-S,0.441944,58,3045.0,24590-S
37-R,slovenija,2023-06-28,202306,['A. P. J.'],229,0.439473,61,3029.0,24590-S,0.432692,62,1474.0,23812-S,0.422634,65,5499.0,26256-S
38-R,gospodarstvo,2023-06-28,202306,['G. C.'],567,0.992524,66,77.0,22915-S,0.726321,71,5355.0,26250-S,0.72499,73,3987.0,25398-S
39-R,slovenija,2023-06-28,202306,"['Urška Jereb', 'Radio Slovenija']",333,0.526695,45,2992.0,24590-S,0.522552,51,5567.0,26260-S,0.51463,41,5327.0,26250-S
40-R,slovenija,2023-06-28,202306,['Al. Ma.'],263,0.427592,41,5299.0,26248-S,0.426737,49,2664.0,24567-S,0.420068,47,2965.0,24590-S
41-R,gospodarstvo,2023-06-28,202306,['G. C.'],466,0.523125,77,1407.0,23812-S,0.515154,78,3929.0,25398-S,0.514759,78,5537.0,26260-S
42-R,okolje,2023-06-28,202306,['Al. Ma.'],921,0.902898,34,33.0,22920-S,0.721763,48,5533.0,26260-S,0.717364,46,3925.0,25398-S
43-R,slovenija,2023-06-28,202306,['M. Z.'],503,0.889471,58,18.0,22931-S,0.389728,61,3728.0,25398-S,0.374374,66,5336.0,26260-S
44-R,slovenija,2023-06-28,202306,['Urška Sobočan Ivanovič'],549,0.550909,53,5004.0,26250-S,0.546031,49,5244.0,26260-S,0.527127,71,3934.0,25410-S
45-R,slovenija,2023-06-28,202306,['Al. Ma.'],1352,0.700159,74,4970.0,26250-S,0.652927,75,2635.0,24590-S,0.640022,80,3900.0,25410-S
46-R,slovenija,2023-06-28,202306,['La. Da.'],3142,0.657041,77,4854.0,26248-S,0.655677,72,2520.0,24590-S,0.638103,75,4855.0,26250-S
47-R,slovenija,2023-06-28,202306,['M. Z.'],1114,0.928796,37,23.0,22951-S,0.730619,60,3465.0,25398-S,0.73034,63,4851.0,26252-S
48-R,slovenija,2023-06-27,202306,['M. Z.'],404,0.507102,76,4156.0,26252-S,0.498719,76,4378.0,26260-S,0.486095,73,5288.0,26289-S
49-R,slovenija,2023-06-27,202306,['Al. Ma.'],1160,0.679353,45,4073.0,26250-S,0.667307,53,5223.0,26289-S,0.656508,67,3003.0,25410-S
50-R,slovenija,2023-06-27,202306,['A. S.'],203,0.428881,53,4078.0,26252-S,0.428735,68,3487.0,25430-S,0.424059,72,1863.0,24603-S
51-R,gospodarstvo,2023-06-27,202306,['Al. Ma.'],1165,0.572396,69,5161.0,26289-S,0.570215,73,4251.0,26260-S,0.563113,74,4011.0,26250-S
52-R,slovenija,2023-06-27,202306,['Al. Ma.'],450,0.587268,51,87.0,23817-S,0.532226,55,1212.0,24565-S,0.494212,58,3915.0,26250-S
53-R,slovenija,2023-06-27,202306,['La. Da.'],1299,0.799534,69,19.0,23815-S,0.673902,67,1566.0,24590-S,0.641455,68,3901.0,26250-S
54-R,slovenija,2023-06-27,202306,['M. Z.'],911,0.825191,7,78.0,23826-S,0.648034,48,4053.0,26260-S,0.647777,49,3813.0,26250-S
55-R,slovenija,2023-06-27,202306,['G. C.'],485,0.967942,61,12.0,23823-S,0.680128,59,3777.0,26250-S,0.580805,60,3776.0,26248-S
