id,rubrika,datum,mesec,avtorji,st_besed,cos_podobnost_1,L_podobnost_1,zamik_objav_1[min],id_podobnih_1,cos_podobnost_2,L_podobnost_2,zamik_objav_2[min],id_podobnih_2,cos_podobnost_3,L_podobnost_3,zamik_objav_3[min],id_podobnih_3
1-S,sportal,2023-07-02,202307,['STA'],323,0.501015,61,2770.0,10441-R,0.490367,55,4777.0,10469-R,0.483494,59,2467.0,10439-R
2-S,sportal,2023-07-02,202307,['R. P.'],903,0.716799,42,5079.0,16830-R,0.674355,68,4486.0,20931-R,0.673562,42,3555.0,10456-R
3-S,slovenija,2023-07-02,202307,"['Planet TV', 'Tara Knok Ratković']",372,0.377643,59,3693.0,13-R,0.362176,75,4509.0,20-R,0.355906,50,4093.0,14-R
4-S,sportal,2023-07-02,202307,['Simon Kavčič'],765,0.720322,63,3587.0,10456-R,0.704643,59,5111.0,16830-R,0.701034,58,5066.0,10476-R
5-S,sportal,2023-07-02,202307,['Boštjan Boh'],2653,0.795554,43,3536.0,10456-R,0.791726,41,5060.0,16830-R,0.740723,45,2166.0,16804-R
6-S,sportal,2023-07-02,202307,['STA'],130,0.492649,49,2531.0,10440-R,0.468664,54,2344.0,10439-R,0.466681,36,5024.0,16830-R
7-S,sportal,2023-07-02,202307,['J. L.'],109,0.376591,59,3603.0,13-R,0.368207,58,4977.0,10476-R,0.361871,49,3498.0,10456-R
8-S,sportal,2023-07-02,202307,['Simon Kavčič'],2893,0.418865,66,1930.0,10435-R,0.387815,52,3261.0,10453-R,0.35897,62,4936.0,10476-R
9-S,crna-kronika,2023-07-02,202307,"['D.K.', 'STA']",100,0.377271,60,3474.0,5004-R,0.350419,40,3375.0,16817-R,0.342923,72,4751.0,26-R
10-S,sportal,2023-07-02,202307,"['M. P.', 'STA']",886,0.726604,73,4960.0,16830-R,0.700878,62,4195.0,10459-R,0.694108,77,3436.0,10456-R
11-S,slovenija,2023-06-27,202306,"['A. Ž.', 'STA']",71,0.349012,32,3650.0,5074-R,0.181031,46,4469.0,10546-R,0.17777,35,5043.0,16887-R
12-S,sportal,2023-07-02,202307,['STA'],788,0.724441,59,1313.0,10426-R,0.68143,60,4579.0,10469-R,0.643954,65,4949.0,16830-R
13-S,svet,2023-07-02,202307,"['D.K.', 'STA']",322,0.52215,70,4023.0,5005-R,0.511861,67,4456.0,5014-R,0.511037,54,4941.0,16830-R
14-S,sportal,2023-07-02,202307,['Pe. M.'],434,0.583121,69,4938.0,16830-R,0.573406,76,4345.0,20931-R,0.560864,72,3414.0,10456-R
15-S,sportal,2023-07-02,202307,['M. P.'],518,0.622862,59,4930.0,16830-R,0.579233,60,4885.0,10476-R,0.576536,56,1950.0,10437-R
16-S,slovenija,2023-07-02,202307,"['D.K.', 'STA']",160,0.434813,61,3404.0,5004-R,0.425031,73,4844.0,5019-R,0.423593,58,1972.0,4989-R
17-S,sportal,2023-07-02,202307,['R. Sp.'],40,0.15817,54,1772.0,4986-R,0.109309,84,3173.0,6-R,0.108937,34,2764.0,10447-R
18-S,slovenija,2023-07-02,202307,['D.K.'],136,0.319259,50,1889.0,10437-R,0.312792,67,1818.0,10435-R,0.311827,75,4321.0,5013-R
19-S,sportal,2023-07-02,202307,['STA'],226,0.496975,47,1483.0,10430-R,0.466463,62,5467.0,16833-R,0.452407,68,1797.0,10435-R
