id,avtor,st_clankov,avg_cos_podobnost,mediana_cos_podobnost,st_0.9-1.0,st_0.8-0.9,st_0.7-0.8,st_0.6-0.7,st_0.5-0.6
A-1-R,M. Z.,661,0.6142977201210288,0.596108,59,54,76,133,150
A-2-R,T. K. B.,771,0.5641624332036317,0.5375,40,33,46,136,227
A-3-R,La. Da.,524,0.6220584255725191,0.589225,53,36,66,93,146
A-4-R,Avtomobilnost,193,0.4084665129533679,0.401105,0,0,1,4,20
A-5-R,Ksenja Tratnik,38,0.7517125263157894,0.7564474999999999,0,9,23,6,0
A-6-R,Al. Ma.,655,0.6363319358778626,0.614821,73,56,79,142,147
A-7-R,G. C.,702,0.5944855142450143,0.580747,56,59,67,131,160
A-8-R,STA,1334,0.44714151424287857,0.434554,72,17,31,64,226
A-9-R,Urška Sobočan Ivanovič,21,0.5720404285714286,0.551025,0,0,3,3,12
A-10-R,A. M.,46,0.612150695652174,0.6040525,5,0,6,12,13
A-11-R,TV Slovenija,222,0.5312447297297297,0.5354185,0,0,3,37,109
A-12-R,A. P. J.,1000,0.568947867,0.528317,56,67,79,117,295
A-13-R,Radio Slovenija,125,0.504225136,0.497714,0,1,5,11,43
A-14-R,A. S.,327,0.5657328501529052,0.53559,16,19,28,49,79
A-15-R,M. R.,430,0.6117705209302325,0.6047564999999999,19,27,55,119,116
A-16-R,K. T.,601,0.6130086971713811,0.591738,33,46,86,124,174
A-17-R,G. K.,639,0.6304549530516432,0.595112,83,48,67,115,167
A-18-R,Urška Valjavec,21,0.4729869523809524,0.460611,0,0,0,1,4
A-19-R,Prvi,195,0.49773666666666666,0.479461,0,1,8,17,55
A-20-R,Larisa Daugul,29,0.6522929655172414,0.672423,0,1,10,9,6
A-21-R,B. R.,199,0.5360631155778894,0.500314,14,6,8,22,50
A-22-R,N. H.,548,0.5017094397810219,0.48525399999999996,11,19,16,41,155
A-23-R,Tomaž Okorn,89,0.6486558988764045,0.638053,0,1,19,46,22
A-24-R,Erika Pečnik Ladika,21,0.5285560476190476,0.529965,0,0,1,1,13
A-25-R,A. K. K.,42,0.6173233571428571,0.6211255,2,2,4,17,7
A-26-R,Radio Prvi,39,0.5016631794871795,0.472996,0,0,4,2,9
A-27-R,A. J.,674,0.5520097255192878,0.5422445,18,8,23,151,242
A-28-R,Televizija Slovenija,73,0.5351444109589041,0.530765,0,0,4,15,31
A-29-R,Kaja Sajovic,53,0.6720219622641509,0.678154,0,0,16,30,6
A-30-R,J. R.,1158,0.5645732754749568,0.537481,30,77,112,181,322
A-31-R,K. S.,969,0.573035769865841,0.549504,44,48,86,165,308
A-32-R,G. V.,1198,0.6023917704507512,0.5720514999999999,84,92,137,191,330
A-33-R,P. G.,748,0.5458250053475936,0.5401050000000001,6,14,28,140,323
A-34-R,G. Pr.,106,0.4844328113207547,0.489835,0,0,0,5,44
A-35-R,D. S.,1052,0.5717115960076046,0.540188,98,47,69,168,243
A-36-R,Tilen Jamnik,250,0.6859111960000001,0.7009700000000001,0,23,103,86,20
A-37-R,Ars,65,0.5812456461538461,0.580761,0,0,4,20,31
A-38-R,M. K.,582,0.5186422027491409,0.507198,8,7,17,76,201
A-39-R,M. L.,548,0.5944691989051095,0.5778685,48,26,30,133,143
A-40-R,Val 202,55,0.5845749454545455,0.583367,0,0,14,10,16
A-41-R,N. Š.,775,0.5161369806451613,0.507541,10,10,10,110,276
A-42-R,B. V.,1447,0.6012025860400829,0.562964,97,131,157,215,405
A-43-R,Janko Petrovec,50,0.46299784,0.45294,0,0,1,2,12
A-44-R,dopisnik RTV Slovenija iz Rima,25,0.4761494,0.470089,0,0,1,2,3
A-45-R,Luka Gregorič,36,0.4880805833333333,0.5045005,0,0,0,1,18
A-46-R,Köln,23,0.6954213043478261,0.696197,0,1,10,10,2
A-47-R,Toni Gruden,172,0.681428215116279,0.687837,0,9,64,79,16
A-48-R,Ž. E. Č.,524,0.5215460324427481,0.510583,2,12,25,72,168
A-49-R,Maja Hrvatin,23,0.5107355652173913,0.520947,0,0,0,2,13
A-50-R,T. O.,781,0.561939471190781,0.56704,12,28,70,196,227
A-51-R,Niko Hari,20,0.6638932,0.6863225,0,0,7,9,4
A-52-R,Tanja Kozorog Blatnik,21,0.68846,0.705237,0,1,10,5,5
A-53-R,Maja Kač,25,0.68645464,0.729646,0,0,13,8,3
A-54-R,R. K.,730,0.567414995890411,0.555869,30,40,50,150,206
A-55-R,K. Št.,182,0.573210934065934,0.5467625,4,8,26,27,54
A-56-R,S. J.,566,0.590236703180212,0.5817574999999999,40,24,37,153,141
A-57-R,I. K.,37,0.4972878108108108,0.480681,0,1,0,3,12
A-58-R,Boštjan Anžin,26,0.5309570384615384,0.5305435000000001,0,0,0,5,12
