id,avtor,st_clankov,avg_cos_podobnost,mediana_cos_podobnost,st_0.9-1.0,st_0.8-0.9,st_0.7-0.8,st_0.6-0.7,st_0.5-0.6
A-1-S,STA,6424,0.5525850375155666,0.5322340000000001,311,364,528,986,1574
A-2-S,R. P.,946,0.5512592103594081,0.5706415,7,16,83,269,281
A-3-S,Planet TV,1244,0.5091306768488746,0.4887335,21,46,76,175,265
A-4-S,Tara Knok Ratković,22,0.5334895,0.517029,0,1,2,0,11
A-5-S,Simon Kavčič,136,0.6143747941176471,0.6564445,0,1,42,51,19
A-6-S,Boštjan Boh,103,0.6809375922330098,0.698973,0,4,47,35,14
A-7-S,J. L.,297,0.51900132996633,0.533366,1,3,24,75,71
A-8-S,D.K.,861,0.5548951579558653,0.534247,36,54,74,138,206
A-9-S,M. P.,1319,0.5372653252463988,0.549781,1,11,84,324,451
A-10-S,A. Ž.,414,0.5761296425120773,0.556288,25,21,24,97,99
A-11-S,Pe. M.,964,0.46731821680497926,0.480541,2,10,46,113,253
A-12-S,R. Sp.,171,0.4588368947368421,0.455465,0,2,0,12,50
A-13-S,P. P.,61,0.5298012295081967,0.509026,1,1,6,12,11
A-14-S,Matej Podgoršek,180,0.6494608277777778,0.6554945000000001,0,3,51,78,40
A-15-S,J.C.,402,0.4825229129353234,0.4924035,0,0,1,25,158
A-16-S,Sportal,548,0.4561003503649635,0.4934345,1,3,5,80,179
A-17-S,Alenka Teran Košir,205,0.6370447756097561,0.655035,0,10,56,78,35
A-18-S,Oglasno sporočilo,107,0.4422279158878505,0.443879,0,0,1,8,20
A-19-S,Igor Harb,51,0.6447746666666666,0.647865,0,2,5,33,9
A-20-S,Sabina Bravec,26,0.5969063076923077,0.597553,0,1,5,7,8
A-21-S,Gregor Pavšič,843,0.4194629549228944,0.402954,0,0,11,60,141
A-22-S,Matic Tomšič,424,0.5643473018867925,0.5395924999999999,8,25,46,60,137
A-23-S,E. R.,618,0.5659713446601942,0.576514,0,0,15,223,254
A-24-S,K. M.,1677,0.5275205378652356,0.516037,39,64,175,258,364
A-25-S,St. M.,552,0.5314476974637681,0.5152315000000001,19,29,47,77,125
A-26-S,N. V.,819,0.4777531636141636,0.479653,4,5,15,101,220
A-27-S,Špela Lenart,206,0.6891481796116505,0.6912725,0,8,82,98,16
A-28-S,A. P. K.,663,0.5415031644042232,0.543901,4,25,79,122,164
A-29-S,A. T. K.,563,0.5108389165186501,0.520821,5,12,38,108,153
A-30-S,Rebeka Krašovec,36,0.6646186944444444,0.7383335,0,6,15,4,5
A-31-S,S. K.,878,0.49487342369020504,0.5266705,10,11,57,187,244
A-32-S,STA/Katja Kodba,4508,0.5429199602928128,0.5309595,176,209,346,707,1189
A-33-S,Kaj kuhaš danes,60,0.25851751666666667,0.2649375,0,0,0,0,0
A-34-S,Rok Plestenjak,288,0.6758885833333333,0.6865224999999999,0,22,101,106,45
A-35-S,Jaka Lopatič,329,0.6337659604863222,0.657229,0,10,92,147,46
A-36-S,Nina Vogrin,36,0.5918243055555555,0.6385734999999999,0,0,9,11,8
A-37-S,B. B.,440,0.5696499340909091,0.5989445,2,7,45,164,126
A-38-S,Aleš Žužek,142,0.6285751690140845,0.6283345,0,2,24,60,49
A-39-S,Š. L.,1004,0.5194222928286852,0.5432505000000001,1,12,81,238,295
A-40-S,R. K.,1517,0.5338803823335531,0.512954,58,70,131,227,315
A-41-S,Sa. B.,1086,0.5231659180478822,0.508102,26,36,74,155,279
A-42-S,David Kos,40,0.52176975,0.5119065,0,0,4,5,13
A-43-S,A. K.,228,0.5457106228070175,0.5373859999999999,10,12,22,37,53
A-44-S,Gašper Pirman,212,0.45945234905660376,0.4479795,0,0,1,21,47
A-45-S,Na. R.,1495,0.4942423638795987,0.476868,43,48,109,180,271
A-46-S,Vitomir Petrović,22,0.5542216818181819,0.5587,0,0,2,5,8
A-47-S,Srdjan Cvjetović,130,0.5230938153846154,0.529154,0,0,6,24,46
A-48-S,S. E.,134,0.4212183432835821,0.416599,0,0,1,4,25
A-49-S,Petra Mavrič,163,0.5307008220858895,0.55376,0,2,9,32,63
A-50-S,Aleksander Kolednik,64,0.51564796875,0.5132325,0,3,4,3,23
A-51-S,Ksenija Mlinar,25,0.54022572,0.518049,0,1,2,6,4
A-52-S,Ka. N.,299,0.5544876086956522,0.546956,24,11,27,55,60
A-53-S,Video: Ana Kovač,27,0.5734565555555555,0.569007,0,1,4,6,9
A-54-S,Stela Mihajlović,39,0.5346624871794872,0.531792,0,0,6,7,9
A-55-S,Anja Ristić,20,0.47258345,0.48111400000000004,0,0,0,0,7
A-56-S,Aljaž P. Kunej,24,0.611233,0.6163865,0,1,5,8,6
A-57-S,Špela Plešnik,20,0.5654131,0.573212,1,1,1,4,7
A-58-S,Siol.net/ A. P. K.,83,0.36163438554216865,0.387192,0,0,0,4,13
A-59-S,T. A.,22,0.30978113636363636,0.2423375,0,0,0,1,5
A-60-S,St.M.,20,0.5564903,0.5376765,1,1,2,3,7
A-61-S,I. H.,517,0.5424154835589942,0.527903,11,26,74,62,111
A-62-S,,1736,0.48636395449308756,0.4938815,1,2,19,157,646
A-63-S,M. T.,90,0.5427279111111111,0.49044,7,2,8,12,14
A-64-S,Peter Jančič,27,0.3681187777777778,0.352659,0,0,1,0,1
A-65-S,L. B.,42,0.5145963809523809,0.5055475,0,1,1,9,10
